id_serie;n_temporada;n_orden;fecha_estreno;titulo;duracion
3;3;27;13/04/2005;Érase unas tragaperras;65
3;3;28;20/04/2005;Érase un desgobierno;55
3;3;29;27/04/2005;Érase un regalo de boda;63
3;3;30;04/05/2005;Érase otra boda;65
3;3;31;11/05/2005;Érase una luna de miel;58
3;3;32;18/05/2005;Érase un cirujano plástico;61
3;3;33;25/05/2005;Érase unas vacaciones;67
3;4;1;09/11/2005;Érase un despertar;55
3;4;2;16/11/2005;Érase un cultivo;56
3;4;3;23/11/2005;Érase un desvío provisional;60
3;4;4;30/11/2005;Érase una sequía;63
3;4;5;07/12/2005;Érase un banco en la acera;68
3;4;6;14/12/2005;Érase una navidad convulsa;57
3;4;7;21/12/2005;Érase la tercera nochevieja;63
3;4;8;28/12/2005;Erase unos propósitos de año nuevo;64
3;4;9;04/01/2006;Érase una presidenta títere;56
3;4;10;11/01/2006;Érase un par de bodas;57
3;4;11;18/01/2006;Érase una conexión wifi;69
3;4;12;25/01/2006;Érase un vudú;60
3;4;13;01/02/2006;Érase un día de san valentín;57
3;4;14;08/02/2006;Érase una nueva vida;69
3;5;1;06/04/2006;Érase una extradición;55
3;5;2;13/04/2006;Érase un colapso;55
3;5;3;20/04/2006;Érase un robot de cocina;57
3;5;4;27/04/2006;Érase un presidente de vacaciones;56
3;5;5;04/05/2006;Érase un anuncio;66
3;5;6;11/05/2006;Érase un billete de cincuenta euros;63
3;5;7;18/05/2006;Érase un escándalo;67
3;5;8;25/05/2006;Érase un descubrimiento macabro;61
3;5;9;01/06/2006;Érase una emisora pirata;64
3;5;10;08/06/2006;Érase un funeral con sorpresa;55
3;5;11;15/06/2006;Érase una lista de bodas;57
3;5;12;22/06/2006;Érase un paripé;56
3;5;13;29/06/2006;Érase un adiós;63
4;1;1;02/05/2017;Efectuar lo acordado;46
4;1;2;09/05/2017;Imprudencias letales;48
4;1;3;16/05/2017;Errar al disparar;56
4;1;4;23/05/2017;Caballo de Troya;42
4;1;5;30/05/2017;El día de la marmota;57
4;1;6;06/06/2017;La cálida guerra fría;44
4;1;7;13/06/2017;Refrigerada inestabilidad;50
4;1;8;20/06/2017;Tú lo has buscado;54
4;1;9;27/06/2017;El que la sigue la consigue;43
4;1;10;16/10/2017;Se acabaron las máscaras;58
4;1;11;23/10/2017;La cabeza del plan;45
4;1;12;02/11/2017;Cuestión de eficacia;44
4;1;13;09/11/2017;¿Qué hemos hecho?;56
4;1;14;16/11/2017;A contrarreloj;55
4;1;15;23/11/2017;Bella ciao;53
4;2;1;19/07/2019;Hemos vuelto;46
4;2;2;19/07/2019;Aikido;47
4;2;3;19/07/2019;48 metros bajo el suelo;56
4;2;4;19/07/2019;La hora del delfín;51
4;2;5;19/07/2019;Bum, bum, ciao;54
4;2;6;19/07/2019;Todo pareció insignificante;54
4;2;7;19/07/2019;Pequeñas vacaciones;49
4;2;8;19/07/2019;La deriva;46
